mu,rho,ll
0.348563,0.080283,-1825.098022
0.351792,0.080811,-1824.95874
0.351792,0.080811,-1825.046631
0.35084,0.07936,-1825.558105
0.352053,0.078425,-1824.955566
0.351902,0.079109,-1825.008789
0.352496,0.080072,-1825.682983
0.352496,0.080072,-1825.414795
0.352547,0.081678,-1825.144287
0.35021,0.080191,-1825.579834
0.346425,0.079769,-1825.505981
0.344952,0.079533,-1824.67041
0.342985,0.078949,-1825.182007
0.341266,0.078154,-1825.076172
0.340795,0.078498,-1825.211914
0.340694,0.07843,-1823.838867
0.340694,0.07843,-1825.039307
0.341023,0.078873,-1824.814087
0.341023,0.078873,-1823.869385
0.338747,0.080342,-1825.053223
0.33897,0.082188,-1825.171387
0.339258,0.082731,-1825.773926
0.339427,0.083494,-1825.111328
0.337162,0.084129,-1825.427734
0.338539,0.083213,-1825.712769
0.339985,0.082419,-1825.700928
0.340248,0.082328,-1825.124512
0.339882,0.079689,-1824.741821
0.339008,0.07841,-1824.836182
0.338355,0.078118,-1824.185303
0.336263,0.077791,-1824.719971
0.334893,0.078031,-1824.471313
0.333918,0.076853,-1825.224976
0.335119,0.076843,-1825.743896
0.336994,0.07703,-1824.78125
0.338852,0.07656,-1824.820312
0.341161,0.078845,-1825.060547
0.341892,0.07744,-1824.792114
0.339014,0.077382,-1825.015991
0.337708,0.075081,-1824.67627
0.339573,0.074641,-1824.69812
0.339573,0.074641,-1823.543457
0.339573,0.074641,-1825.000854
0.339573,0.074641,-1823.828979
0.339039,0.073386,-1823.818359
0.339039,0.073386,-1823.678101
0.341076,0.074162,-1825.030762
0.340848,0.074225,-1824.124512
0.341003,0.072048,-1824.082764
0.339413,0.070666,-1824.747803
0.341134,0.067591,-1824.49585
0.340686,0.068256,-1823.86377
0.339807,0.070363,-1824.256836
0.342436,0.068708,-1823.644287
0.345641,0.069007,-1823.680664
0.342554,0.068003,-1824.374878
0.341987,0.068914,-1824.384766
0.340827,0.069668,-1824.633667
0.340007,0.071429,-1824.824829
0.342691,0.07035,-1824.954712
0.343003,0.070072,-1824.4646
0.346638,0.069091,-1824.242676
0.34771,0.067227,-1824.231201
0.350459,0.065277,-1824.278931
0.349909,0.067283,-1824.680054
0.349576,0.066984,-1824.994141
0.350547,0.066643,-1824.100098
0.35011,0.068222,-1823.821655
0.347497,0.067611,-1824.186035
0.346621,0.068044,-1824.401367
0.346445,0.067426,-1824.535034
0.346445,0.067426,-1824.137817
0.346305,0.067099,-1824.213623
0.346086,0.06585,-1823.590576
0.346375,0.065459,-1824.380981
0.341973,0.066692,-1824.712158
0.342275,0.067197,-1823.926392
0.343338,0.066576,-1823.733276
0.342271,0.066333,-1824.412354
0.344253,0.064456,-1824.866821
0.342014,0.062313,-1824.7146
0.341701,0.063285,-1824.896851
0.339384,0.06353,-1824.347412
0.337699,0.062238,-1825.403076
0.33756,0.06245,-1825.0979
0.342251,0.062252,-1824.827881
0.342323,0.06297,-1824.505615
0.342713,0.062227,-1824.701904
0.341671,0.063659,-1825.563965
0.342075,0.065686,-1824.356934
0.34203,0.064562,-1824.782715
0.34142,0.064043,-1824.460571
0.343157,0.061721,-1824.17981
0.343157,0.061721,-1824.38623
0.343474,0.062993,-1824.131104
0.343153,0.064361,-1824.669922
0.342634,0.065979,-1824.206787
0.34348,0.066135,-1823.793701
0.343868,0.067032,-1824.27124
0.344188,0.066444,-1823.983521
0.344082,0.067271,-1824.573975
0.344082,0.067271,-1824.255127
0.344082,0.067271,-1824.682129
0.345778,0.068164,-1824.231934
0.345705,0.06865,-1824.033813
0.344929,0.069963,-1823.958374
0.344929,0.069963,-1824.087524
0.347153,0.07306,-1824.708862
0.347153,0.07306,-1824.457397
0.347153,0.07306,-1824.480347
0.347193,0.073257,-1823.984619
0.346601,0.073014,-1823.859863
0.349203,0.072073,-1824.652832
0.347952,0.070359,-1824.485718
0.348569,0.070686,-1824.593872
0.346283,0.070323,-1824.067261
0.345765,0.06914,-1823.960571
0.345765,0.06914,-1824.095459
0.345511,0.067984,-1824.788086
0.343426,0.067903,-1825.442383
0.343426,0.067903,-1823.659058
0.341309,0.067819,-1824.906494
0.343238,0.066797,-1824.047852
0.344576,0.06621,-1823.869141
0.342234,0.067725,-1823.349854
0.343574,0.066506,-1824.108887
0.342204,0.067641,-1824.203369
0.342204,0.067641,-1824.190308
0.342522,0.068522,-1824.453613
0.341761,0.068253,-1824.234985
0.343396,0.06782,-1824.234009
0.342925,0.066535,-1825.061157
0.342925,0.066535,-1824.204834
0.343754,0.065705,-1823.806152
0.343754,0.065705,-1823.905273
0.345981,0.06758,-1824.494263
0.348459,0.068778,-1823.816406
0.346752,0.069319,-1824.582397
0.346752,0.069319,-1823.928711
0.348211,0.068296,-1825.20459
0.346205,0.068531,-1824.05127
0.346697,0.06631,-1824.606079
0.348428,0.064367,-1825.416748
0.348975,0.063318,-1824.376587
0.351402,0.06181,-1825.091797
0.353475,0.063168,-1823.924561
0.357229,0.062903,-1825.445923
0.357401,0.062559,-1825.344482
0.354403,0.061595,-1825.029541
0.350778,0.060964,-1825.731934
0.35061,0.060093,-1824.633545
0.350898,0.061688,-1825.368774
0.349028,0.061928,-1824.716553
0.349818,0.062109,-1825.098999
0.350574,0.06291,-1824.512817
0.352717,0.06168,-1825.319336
0.352516,0.062939,-1825.263428
0.351843,0.062355,-1824.592407
0.351431,0.061394,-1824.787598
0.350912,0.060331,-1825.221069
0.348167,0.060336,-1825.803223
0.348167,0.060336,-1824.677612
0.348167,0.060336,-1825.145752
0.348212,0.059359,-1826.407715
0.349915,0.058516,-1825.564697
0.349279,0.059041,-1825.879272
0.349387,0.059798,-1825.380127
0.347559,0.058618,-1825.838013
0.347873,0.059111,-1825.687744
0.347873,0.059111,-1824.81958
0.347295,0.059447,-1825.622803
