,alpha,mu,omega,logposterior
193,0.044228822,1.0247258,0.66215724,-1975.26025390625
194,0.044307936,1.0295073,0.65896493,-1970.0120849609375
195,0.044307936,1.0295073,0.65896493,-1974.0443115234375
196,0.044307936,1.0295073,0.65896493,-1969.17431640625
197,0.044307936,1.0295073,0.65896493,-1971.199951171875
198,0.044307936,1.0295073,0.65896493,-1969.5721435546875
199,0.04485476,1.0342332,0.6608011,-1971.8973388671875
200,0.04485476,1.0342332,0.6608011,-1970.4813232421875
201,0.04485476,1.0342332,0.6608011,-1967.5360107421875
202,0.04485476,1.0342332,0.6608011,-1969.2861328125
203,0.044514243,1.044523,0.67246073,-1974.9495849609375
204,0.044514243,1.044523,0.67246073,-1976.0947265625
205,0.044514243,1.044523,0.67246073,-1976.6513671875
206,0.044694997,1.0461408,0.67118865,-1970.8834228515625
207,0.044694997,1.0461408,0.67118865,-1969.2069091796875
208,0.04468441,1.0573955,0.67639023,-1975.121826171875
209,0.04468441,1.0573955,0.67639023,-1970.625244140625
210,0.04468441,1.0573955,0.67639023,-1978.4715576171875
211,0.044906855,1.061784,0.67230105,-1969.359619140625
212,0.044906855,1.061784,0.67230105,-1971.9383544921875
213,0.04518287,1.0747994,0.6635486,-1968.95703125
214,0.04518287,1.0747994,0.6635486,-1966.10205078125
215,0.045324747,1.0663416,0.6661988,-1967.896728515625
216,0.045525048,1.0680914,0.6666862,-1967.0242919921875
217,0.04567995,1.0674968,0.6529212,-1969.70849609375
218,0.04567995,1.0674968,0.6529212,-1969.2491455078125
219,0.04567995,1.0674968,0.6529212,-1970.515869140625
220,0.0453718,1.0713933,0.66172206,-1969.2747802734375
221,0.045750927,1.0657331,0.672648,-1966.7520751953125
222,0.04605141,1.079226,0.6723812,-1969.2122802734375
223,0.04560593,1.0797971,0.6689669,-1966.509521484375
224,0.045252834,1.0947211,0.65716404,-1968.08056640625
225,0.045252834,1.0947211,0.65716404,-1968.575439453125
226,0.045252834,1.0947211,0.65716404,-1970.287353515625
227,0.045252834,1.0947211,0.65716404,-1968.678466796875
228,0.045253176,1.081696,0.65727884,-1968.82666015625
229,0.04503763,1.0844368,0.6396913,-1972.70703125
230,0.04442385,1.097423,0.641938,-1971.2230224609375
231,0.044488706,1.0993339,0.65801024,-1967.2418212890625
232,0.044488706,1.0993339,0.65801024,-1967.6083984375
233,0.045010194,1.0901188,0.6699831,-1967.775146484375
234,0.045690354,1.1206857,0.6658303,-1966.747802734375
235,0.045716703,1.1327602,0.670088,-1966.3179931640625
236,0.045716703,1.1327602,0.670088,-1966.39111328125
237,0.045031447,1.1070076,0.67258656,-1965.8701171875
238,0.0443104,1.1131449,0.6711976,-1966.1048583984375
239,0.044390474,1.0949209,0.6590417,-1967.6959228515625
240,0.04472669,1.0980468,0.67187995,-1967.4791259765625
241,0.04492645,1.1222754,0.6734847,-1964.8948974609375
242,0.04492645,1.1222754,0.6734847,-1966.1458740234375
243,0.044745807,1.1170316,0.6645548,-1966.7730712890625
244,0.044745807,1.1170316,0.6645548,-1967.86962890625
245,0.045049813,1.1086096,0.6628621,-1966.7166748046875
246,0.045049813,1.1086096,0.6628621,-1966.9791259765625
247,0.045165256,1.1077901,0.66289055,-1967.54736328125
248,0.045486122,1.1092612,0.66385794,-1968.0064697265625
249,0.045486122,1.1092612,0.66385794,-1967.340576171875
250,0.046298135,1.1183791,0.6676093,-1967.7056884765625
251,0.045311533,1.1178318,0.6724989,-1966.5987548828125
252,0.045717616,1.1031975,0.6640374,-1967.656982421875
