mu,rho,ll
0.442436,0.131997,-2037.227905
0.44229,0.132006,-2037.864624
0.44129,0.129982,-2036.688232
0.44129,0.129982,-2037.323608
0.438657,0.126587,-2037.617432
0.441278,0.126892,-2037.213501
0.441278,0.126892,-2037.183838
0.441656,0.127101,-2037.593506
0.441656,0.127101,-2036.802979
0.441656,0.127101,-2037.942627
0.442043,0.126436,-2037.060059
0.442867,0.128154,-2036.474976
0.44529,0.128599,-2038.188965
0.444793,0.127679,-2038.09668
0.446927,0.128525,-2037.789551
0.446927,0.128525,-2038.02063
0.446927,0.127619,-2037.250977
0.444993,0.124469,-2037.269287
0.444335,0.12416,-2037.215576
0.444944,0.124149,-2037.098755
0.445169,0.125923,-2037.243408
0.443257,0.123846,-2037.480713
0.443257,0.123846,-2037.505859
0.44504,0.123255,-2036.674805
0.445975,0.124628,-2037.522705
0.445975,0.124628,-2037.665039
0.446346,0.124123,-2037.081421
0.444065,0.123816,-2038.269531
0.443997,0.123803,-2037.557861
0.443368,0.124192,-2038.278931
0.443368,0.124192,-2036.609985
0.444032,0.123308,-2037.383057
0.443235,0.124698,-2036.786255
0.445798,0.12298,-2037.232178
0.447831,0.119243,-2039.071777
0.447722,0.117372,-2037.807373
0.449205,0.118864,-2036.488892
0.449205,0.118864,-2037.571411
0.447774,0.117269,-2037.621582
0.447774,0.117269,-2037.180298
0.447774,0.117269,-2037.150879
0.447774,0.117269,-2037.20813
0.448171,0.116532,-2037.784912
0.449794,0.116196,-2037.485962
0.451569,0.118631,-2037.734863
0.451171,0.118188,-2037.634155
0.452025,0.11584,-2038.242065
0.452545,0.114593,-2037.441772
0.452268,0.113825,-2038.751343
0.451577,0.11335,-2038.768555
0.451203,0.113924,-2037.580566
0.450632,0.11543,-2037.637695
0.451189,0.114061,-2037.203125
0.451608,0.112146,-2037.60376
0.451726,0.115832,-2038.608643
0.453729,0.117082,-2037.88501
0.45306,0.117536,-2037.392578
0.453465,0.11886,-2037.268555
0.454373,0.11837,-2037.783203
0.454373,0.11837,-2037.463257
0.457907,0.118448,-2037.442871
0.457907,0.118448,-2038.191772
0.457907,0.118448,-2038.262085
0.457957,0.117416,-2038.467896
0.45762,0.117496,-2037.988037
0.45762,0.117496,-2038.970947
0.45622,0.117898,-2037.749023
0.45619,0.115819,-2038.387695
0.455375,0.11509,-2038.583008
0.454075,0.11334,-2038.69751
0.454021,0.116318,-2038.320435
0.454021,0.116318,-2039.006226
0.454021,0.116318,-2038.59082
0.4525,0.115826,-2037.816406
0.452618,0.117269,-2038.472046
0.451344,0.118039,-2037.113403
0.451203,0.117933,-2038.491699
0.452332,0.118568,-2038.915405
0.452478,0.119925,-2038.247925
0.452735,0.119833,-2038.491211
0.452735,0.119833,-2037.09436
0.451709,0.120702,-2037.887939
0.449911,0.124058,-2036.999634
0.451027,0.123037,-2038.502441
0.450956,0.12144,-2037.951904
0.448666,0.118446,-2038.291016
0.447274,0.119163,-2037.914062
0.443812,0.11762,-2037.838623
0.443588,0.1166,-2038.350586
0.444304,0.114507,-2037.535889
0.444579,0.113219,-2037.856934
0.444382,0.112547,-2037.662231
0.444382,0.112547,-2038.210449
0.444461,0.112053,-2038.634521
0.444461,0.112053,-2037.648193
0.443078,0.112523,-2039.191284
0.442503,0.109092,-2038.198853
0.442503,0.109092,-2038.529907
0.442482,0.109312,-2038.260864
0.443275,0.110448,-2037.980225
0.440512,0.110501,-2036.847534
0.442165,0.109859,-2038.397217
0.441867,0.109722,-2037.710449
0.440236,0.110835,-2038.260742
0.439968,0.110485,-2038.376465
0.439968,0.110485,-2038.487183
0.440631,0.110542,-2038.249878
0.440631,0.110542,-2037.465088
0.439309,0.108817,-2037.776611
0.439309,0.108817,-2037.859741
0.438848,0.107983,-2038.886841
0.438058,0.108514,-2038.594238
0.438058,0.108514,-2037.559448
0.438058,0.108514,-2038.501465
0.438058,0.108514,-2038.876709
0.438368,0.108911,-2037.369873
0.439251,0.108163,-2038.698486
0.438711,0.106297,-2038.426758
0.436934,0.10583,-2038.81311
0.435703,0.105933,-2038.168579
0.434037,0.107484,-2038.264282
0.434037,0.107484,-2038.978027
0.432804,0.105922,-2039.031982
0.43391,0.104598,-2038.631836
0.434596,0.10608,-2038.388428
0.433739,0.10704,-2039.285522
0.432523,0.107353,-2038.674072
0.434164,0.107284,-2038.769897
0.436031,0.108194,-2037.918945
0.435051,0.106825,-2038.686035
0.434592,0.106892,-2038.668823
