mu,rho,ll
0.24278,0.158129,-1544.496582
0.24278,0.158129,-1546.613892
0.24278,0.158129,-1548.180908
0.243876,0.156942,-1550.496216
0.24323,0.15873,-1544.832642
0.242416,0.157378,-1543.581177
0.242196,0.158968,-1546.650757
0.242196,0.158968,-1544.60437
0.24353,0.157018,-1545.74585
0.242508,0.157282,-1544.497803
0.242508,0.157282,-1543.628662
0.242508,0.157282,-1545.483643
0.242508,0.157282,-1543.623535
0.242534,0.156829,-1542.999756
0.24062,0.15683,-1546.338013
0.239744,0.158069,-1542.609985
0.239744,0.158069,-1547.479004
0.239744,0.158069,-1545.293945
0.239572,0.159524,-1546.883057
0.239572,0.159524,-1545.311279
0.239636,0.159857,-1545.312744
0.239636,0.159857,-1543.647461
0.23981,0.158387,-1544.318237
0.240804,0.158989,-1542.587769
0.240804,0.158989,-1546.911377
0.240023,0.157782,-1546.231934
0.240023,0.157782,-1543.103271
0.238161,0.1579,-1547.769287
0.238963,0.158591,-1545.513916
0.237103,0.159182,-1545.832764
0.235931,0.159338,-1550.607056
0.235781,0.15946,-1542.602295
0.235955,0.159131,-1545.32373
0.237247,0.159564,-1547.249268
0.237247,0.159564,-1544.981201
0.237247,0.159564,-1543.660767
0.237247,0.159564,-1544.323853
0.237247,0.159564,-1543.363281
0.237806,0.157872,-1542.684937
0.237157,0.156697,-1551.866699
0.237157,0.156697,-1542.540039
0.238779,0.157486,-1545.18042
0.238779,0.157486,-1540.79834
0.23798,0.159716,-1544.833252
0.239177,0.159875,-1546.02832
0.237787,0.159288,-1547.574219
0.237516,0.15892,-1540.73584
0.23513,0.161101,-1542.79187
0.23346,0.159369,-1539.250366
0.233323,0.159515,-1540.549927
0.233323,0.159515,-1544.308838
0.233447,0.159355,-1541.155518
0.233447,0.159355,-1541.28125
0.2333,0.158742,-1541.021606
0.2333,0.158742,-1543.600342
0.2333,0.158742,-1549.017456
0.2333,0.158742,-1547.685791
0.233638,0.158335,-1547.854614
0.233272,0.15873,-1540.614258
0.233272,0.15873,-1546.601074
0.233444,0.158891,-1541.21814
0.234725,0.159549,-1542.821777
0.235624,0.160874,-1543.275879
0.235895,0.160258,-1550.549194
0.236545,0.159734,-1545.426514
0.236178,0.16163,-1544.497192
0.236178,0.16163,-1547.978271
0.236958,0.1585,-1540.004761
0.236958,0.1585,-1541.895752
0.236174,0.158134,-1549.339355
0.236174,0.158134,-1539.168457
0.234518,0.15742,-1540.868896
0.233655,0.15758,-1543.159546
0.233005,0.158395,-1551.42688
0.231934,0.159586,-1541.548218
0.232358,0.161995,-1553.572388
0.232358,0.161995,-1546.12207
0.232358,0.161995,-1548.755249
0.232358,0.161995,-1537.834229
0.231395,0.162972,-1550.130615
0.231395,0.162972,-1551.068359
0.231395,0.162972,-1554.551514
0.230835,0.161737,-1546.454712
0.229637,0.16181,-1546.423462
0.229637,0.16181,-1554.147949
0.227501,0.16307,-1539.248291
0.227501,0.16307,-1555.453369
0.227059,0.161,-1548.041626
0.227059,0.161,-1552.868042
0.227059,0.161,-1546.629395
0.227059,0.161,-1543.977661
0.227059,0.161,-1551.785889
0.227059,0.161,-1546.17627
0.227059,0.161,-1552.915039
0.227059,0.161,-1544.373291
0.225885,0.161669,-1553.499023
0.225885,0.161669,-1549.592773
0.224987,0.162259,-1546.4198
0.224096,0.163544,-1552.144409
0.224898,0.163963,-1545.153564
0.224512,0.163713,-1555.36731
0.224512,0.163713,-1546.094727
0.223755,0.162441,-1551.909058
0.223755,0.162441,-1555.72998
0.223755,0.162441,-1544.154785
0.224225,0.163509,-1549.314331
0.222557,0.162809,-1557.818604
0.222557,0.162809,-1566.884033
0.222557,0.162809,-1550.641846
0.222906,0.162602,-1554.178955
0.222162,0.162541,-1542.136719
0.222726,0.162881,-1540.923828
0.222319,0.1629,-1540.512939
0.223772,0.162328,-1567.0271
0.223247,0.161451,-1543.689697
0.223638,0.16215,-1542.570923
0.223307,0.163748,-1539.05542
0.223307,0.163748,-1547.017334
0.223946,0.163733,-1550.892334
0.223946,0.163733,-1540.238281
0.224253,0.166491,-1551.723633
0.224217,0.165953,-1555.60498
0.222969,0.167028,-1549.901123
0.222969,0.167028,-1539.680908
0.222723,0.167222,-1545.176758
0.222723,0.167222,-1546.671387
0.222723,0.167222,-1550.544067
0.222723,0.167222,-1556.955322
0.222723,0.167222,-1551.466675
0.223056,0.169083,-1545.161377
0.223056,0.169083,-1552.72168
0.223056,0.169083,-1560.204346
0.222471,0.169568,-1570.3396
0.222471,0.169568,-1554.561768
0.222471,0.169568,-1553.960693
0.222271,0.169037,-1559.272705
0.222271,0.169037,-1544.833984
0.223785,0.16957,-1547.093506
0.223785,0.16957,-1552.525146
0.223785,0.16957,-1547.861084
0.223785,0.16957,-1549.115723
0.223785,0.16957,-1557.777588
0.225236,0.168766,-1549.353149
0.224735,0.166286,-1558.987549
0.224038,0.1673,-1539.457764
0.223095,0.166717,-1557.731689
0.223095,0.166717,-1556.136475
0.223942,0.164591,-1553.376953
0.225385,0.16571,-1551.540283
0.225385,0.16571,-1546.156738
0.225385,0.16571,-1550.796509
0.225385,0.16571,-1540.695312
0.225385,0.16571,-1545.2229
0.225385,0.16571,-1560.463989
0.225385,0.16571,-1553.123535
0.226255,0.165277,-1547.71875
0.226255,0.165277,-1547.608398
0.224954,0.165729,-1546.262695
0.225084,0.167576,-1551.200928
0.225206,0.166513,-1535.555908
0.225946,0.169766,-1548.473999
0.225946,0.169766,-1541.214355
0.225946,0.169766,-1556.898193
