idx,alpha,mu,omega,loglike
286,0.01,0.96,0.46153846153846156,1.4203992936756355e+21
287,0.01,0.96,0.5,1.4480694097861998e+21
288,0.01,0.96,0.5384615384615385,1.4203992936756355e+21
289,0.01,0.96,0.576923076923077,1.4203992936756355e+21
290,0.01,0.96,0.6153846153846154,1.4203992936756355e+21
291,0.01,0.96,0.6538461538461539,1.4480694097861998e+21
292,0.01,0.96,0.6923076923076923,1.4203992936756355e+21
293,0.01,0.96,0.7307692307692308,1.4203992936756355e+21
294,0.01,0.96,0.7692307692307693,1.4480694097861998e+21
295,0.01,0.96,0.8076923076923077,1.4203992936756355e+21
296,0.01,0.96,0.8461538461538463,1.4203992936756355e+21
297,0.01,0.96,0.8846153846153847,-inf
298,0.01,0.96,0.9230769230769231,-inf
299,0.01,0.96,0.9615384615384616,-inf
300,0.01,1.04,0.038461538461538464,1.4203992936756355e+21
301,0.01,1.04,0.07692307692307693,1.4480694097861998e+21
302,0.01,1.04,0.11538461538461539,1.4203992936756355e+21
303,0.01,1.04,0.15384615384615385,1.4203992936756355e+21
304,0.01,1.04,0.19230769230769232,1.4203992936756355e+21
305,0.01,1.04,0.23076923076923078,1.4203992936756355e+21
306,0.01,1.04,0.2692307692307693,1.4203992936756355e+21
307,0.01,1.04,0.3076923076923077,1.4203992936756355e+21
308,0.01,1.04,0.34615384615384615,1.4203992936756355e+21
309,0.01,1.04,0.38461538461538464,1.4203992936756355e+21
310,0.01,1.04,0.42307692307692313,1.4203992936756355e+21
311,0.01,1.04,0.46153846153846156,1.4203992936756355e+21
312,0.01,1.04,0.5,1.4480694097861998e+21
313,0.01,1.04,0.5384615384615385,1.4203992936756355e+21
314,0.01,1.04,0.576923076923077,1.4203992936756355e+21
315,0.01,1.04,0.6153846153846154,1.4203992936756355e+21
316,0.01,1.04,0.6538461538461539,1.4203992936756355e+21
317,0.01,1.04,0.6923076923076923,1.4203992936756355e+21
318,0.01,1.04,0.7307692307692308,1.4203992936756355e+21
319,0.01,1.04,0.7692307692307693,1.4480694097861998e+21
320,0.01,1.04,0.8076923076923077,1.4480694097861998e+21
321,0.01,1.04,0.8461538461538463,-inf
322,0.01,1.04,0.8846153846153847,-inf
323,0.01,1.04,0.9230769230769231,-inf
324,0.01,1.04,0.9615384615384616,-inf
325,0.01,1.12,0.038461538461538464,1.4203992936756355e+21
326,0.01,1.12,0.07692307692307693,1.4203992936756355e+21
327,0.01,1.12,0.11538461538461539,1.4203992936756355e+21
328,0.01,1.12,0.15384615384615385,1.4203992936756355e+21
329,0.01,1.12,0.19230769230769232,1.4203992936756355e+21
330,0.01,1.12,0.23076923076923078,1.4203992936756355e+21
331,0.01,1.12,0.2692307692307693,1.4203992936756355e+21
332,0.01,1.12,0.3076923076923077,1.4480694097861998e+21
333,0.01,1.12,0.34615384615384615,1.4203992936756355e+21
334,0.01,1.12,0.38461538461538464,1.4203992936756355e+21
335,0.01,1.12,0.42307692307692313,1.4203992936756355e+21
336,0.01,1.12,0.46153846153846156,1.4203992936756355e+21
337,0.01,1.12,0.5,1.4203992936756355e+21
338,0.01,1.12,0.5384615384615385,1.4203992936756355e+21
339,0.01,1.12,0.576923076923077,1.4203992936756355e+21
340,0.01,1.12,0.6153846153846154,1.4203992936756355e+21
341,0.01,1.12,0.6538461538461539,1.4203992936756355e+21
342,0.01,1.12,0.6923076923076923,1.4203992936756355e+21
343,0.01,1.12,0.7307692307692308,1.4480694097861998e+21
344,0.01,1.12,0.7692307692307693,1.4480694097861998e+21
345,0.01,1.12,0.8076923076923077,1.4480694097861998e+21
346,0.01,1.12,0.8461538461538463,-inf
347,0.01,1.12,0.8846153846153847,-inf
348,0.01,1.12,0.9230769230769231,-inf
