mu,rho,ll
0.373125,0.225281,-2628.643066
0.373125,0.225281,-2625.297363
0.373125,0.225281,-2624.041992
0.372622,0.219607,-2626.785645
0.372622,0.219607,-2625.754639
0.372622,0.219607,-2625.830322
0.372006,0.223168,-2625.675537
0.372006,0.223168,-2626.417725
0.371083,0.224542,-2625.019287
0.371134,0.225707,-2626.115234
0.371134,0.225707,-2628.977539
0.371134,0.225707,-2626.481445
0.371135,0.226524,-2626.336182
0.371135,0.226524,-2622.697998
0.371742,0.224149,-2628.919678
0.371742,0.224149,-2627.902344
0.372386,0.230129,-2625.745361
0.37138,0.231374,-2630.164551
0.37138,0.231374,-2623.755371
0.37138,0.231374,-2627.730713
0.370909,0.234399,-2624.716309
0.370909,0.234399,-2624.710449
0.37065,0.233767,-2624.86792
0.37065,0.233767,-2624.333008
0.370952,0.234151,-2627.062988
0.370952,0.234151,-2624.549805
0.371659,0.234577,-2629.528564
0.373121,0.233515,-2624.261719
0.373504,0.2318,-2626.492676
0.373139,0.233346,-2625.486084
0.372419,0.234383,-2629.927734
0.372749,0.233592,-2629.89209
0.372449,0.234316,-2628.50708
0.371876,0.238586,-2623.489746
0.371876,0.238586,-2625.258545
0.371046,0.236224,-2631.047852
0.370271,0.235207,-2622.874512
0.370271,0.235207,-2626.010254
0.370271,0.235207,-2622.729004
0.370815,0.235132,-2628.389893
0.370815,0.235132,-2627.087402
0.370238,0.233784,-2623.309082
0.371122,0.235711,-2623.933105
0.371122,0.235711,-2626.456787
0.371049,0.237537,-2624.675781
0.371049,0.237537,-2623.191895
0.371049,0.237537,-2624.418457
0.369544,0.240042,-2625.418945
0.369544,0.240042,-2624.288574
0.369544,0.240042,-2625.796875
0.369245,0.237237,-2628.326416
0.369707,0.241614,-2629.281738
0.369707,0.241614,-2622.556152
0.36933,0.241659,-2625.705811
0.371318,0.243326,-2625.070312
0.371318,0.243326,-2629.004883
0.371318,0.243326,-2622.709473
0.371318,0.243326,-2623.832275
0.371318,0.243326,-2626.29541
0.371318,0.243326,-2627.766357
0.371318,0.243326,-2623.625244
0.371318,0.243326,-2628.218018
0.371318,0.243326,-2625.825684
0.371557,0.242992,-2626.141602
0.372372,0.242204,-2623.582764
0.372372,0.242204,-2623.812988
0.373619,0.238653,-2627.802734
0.373619,0.238653,-2625.081543
0.374513,0.240387,-2625.521484
0.375872,0.238851,-2627.697998
0.37582,0.24247,-2628.313965
0.374786,0.246456,-2626.811035
0.374786,0.246456,-2625.99707
0.374786,0.246456,-2625.266113
0.375586,0.249708,-2624.165771
0.374853,0.247641,-2632.82373
0.374912,0.242933,-2626.355957
0.375295,0.239725,-2625.438965
0.373711,0.240156,-2625.496094
0.373711,0.240156,-2627.085449
0.373711,0.240156,-2624.018799
0.371964,0.240935,-2623.103271
0.374395,0.238637,-2626.083008
0.374395,0.238637,-2625.25415
0.374395,0.238637,-2625.62207
0.37399,0.238659,-2623.719238
0.37399,0.238659,-2624.105713
0.374354,0.238972,-2625.207275
0.370963,0.241884,-2624.78833
0.370963,0.241884,-2626.529053
0.372366,0.237458,-2627.165527
0.371648,0.238704,-2626.723145
0.371648,0.238704,-2630.166504
0.371648,0.238704,-2625.178223
0.371648,0.238704,-2628.370117
0.37079,0.235472,-2623.567871
0.37079,0.235472,-2629.484375
0.371352,0.234114,-2625.270508
0.370365,0.235489,-2627.722168
0.369818,0.233039,-2623.669922
0.369077,0.234396,-2624.124023
0.369896,0.233744,-2630.726562
0.369865,0.233836,-2632.792236
0.369865,0.233836,-2622.743896
0.371167,0.232295,-2630.968506
0.371167,0.232295,-2623.688477
0.371167,0.232295,-2624.902344
0.372102,0.231059,-2625.722656
0.372276,0.232905,-2624.987305
0.372005,0.23186,-2626.271973
0.372005,0.23186,-2625.695557
0.372005,0.23186,-2629.266113
0.372837,0.229879,-2626.714111
0.372464,0.232983,-2625.788086
0.371094,0.230437,-2624.702148
0.368985,0.230676,-2625.900879
0.370013,0.231788,-2623.531006
0.370948,0.233227,-2623.37915
0.370948,0.233227,-2624.205566
0.370948,0.233227,-2627.153809
0.372,0.234741,-2625.111328
0.371391,0.235555,-2624.642334
0.372201,0.234714,-2628.693848
0.372201,0.234714,-2624.428467
0.371655,0.234966,-2627.652344
0.371655,0.234966,-2624.862305
0.371655,0.234966,-2629.381348
0.372241,0.234263,-2628.918945
0.373745,0.236326,-2624.489258
0.373388,0.240298,-2626.697266
0.374126,0.240273,-2624.097656
0.374126,0.240273,-2624.183105
0.374126,0.240273,-2626.820801
0.374585,0.238756,-2628.642578
0.374585,0.238756,-2625.919434
0.374824,0.241574,-2626.158203
0.374824,0.241574,-2626.584961
0.374824,0.241574,-2626.618408
0.375789,0.245801,-2625.481445
0.37668,0.24533,-2627.185547
0.37668,0.24533,-2625.443604
0.37668,0.24533,-2625.858887
0.376421,0.247709,-2625.795166
0.376421,0.247709,-2627.533936
0.376421,0.247709,-2625.430176
0.375831,0.249313,-2627.137695
0.37493,0.254569,-2626.312988
0.373317,0.251838,-2624.437988
0.374774,0.248221,-2629.106445
0.374718,0.245809,-2625.849121
0.374718,0.245809,-2624.480957
0.375282,0.244871,-2626.155273
0.374052,0.243482,-2625.57373
0.373267,0.238701,-2624.243408
0.373267,0.238701,-2623.541504
0.375548,0.241235,-2625.108398
0.374551,0.241334,-2627.916992
0.374551,0.241334,-2625.31543
0.37406,0.241603,-2625.194336
0.372023,0.24263,-2623.44751
0.372204,0.244522,-2627.273193
0.370746,0.243758,-2630.549316
0.370746,0.243758,-2623.448242
0.370746,0.243758,-2623.316406
0.371442,0.242528,-2623.61377
0.371442,0.242528,-2628.900146
0.370297,0.240386,-2623.65625
0.370297,0.240386,-2626.708984
0.370297,0.240386,-2622.976074
0.370297,0.240386,-2623.321777
0.370297,0.240386,-2625.209961
0.369111,0.242825,-2621.545166
0.368026,0.241432,-2624.533691
0.367344,0.239718,-2622.201904
0.368142,0.243382,-2627.004395
0.368065,0.243218,-2625.782227
0.368065,0.243218,-2622.438965
0.368065,0.243218,-2623.883789
0.367604,0.244183,-2623.46875
0.367604,0.244183,-2631.70459
0.365721,0.24265,-2623.924316
0.365721,0.24265,-2636.126953
0.365721,0.24265,-2626.634277
0.365721,0.24265,-2627.984375
0.364771,0.240192,-2630.726074
0.363863,0.248707,-2626.171631
0.363863,0.248707,-2637.179199
0.363955,0.249831,-2622.4104
0.363633,0.249307,-2627.047119
0.365124,0.24856,-2627.39624
0.365124,0.24856,-2627.707275
0.365124,0.24856,-2630.941162
0.365124,0.24856,-2622.324707
0.365435,0.2498,-2625.73584
0.365435,0.2498,-2620.659912
0.365435,0.2498,-2631.068359
0.365435,0.2498,-2635.905518
0.365435,0.2498,-2628.712646
0.364878,0.246644,-2640.917969
0.364571,0.250081,-2621.718262
0.364571,0.250081,-2632.224121
0.364971,0.251844,-2624.052246
0.364971,0.251844,-2627.787598
0.366701,0.251123,-2627.67041
0.365554,0.250786,-2624.530518
0.365635,0.250473,-2623.17334
0.365635,0.250473,-2624.506104
0.365635,0.250473,-2627.79541
0.365154,0.250364,-2627.42627
0.363382,0.25095,-2621.116455
0.363315,0.251757,-2629.588867
0.362967,0.250002,-2634.139648
0.362242,0.250613,-2632.099609
0.362242,0.250613,-2620.179688
0.362214,0.255212,-2624.645996
0.362214,0.255212,-2639.203125
0.362214,0.255212,-2628.077148
0.362214,0.255212,-2632.560059
0.36503,0.257395,-2628.364746
0.364827,0.25734,-2626.226074
0.364827,0.25734,-2626.510986
0.364806,0.256435,-2629.360596
0.364806,0.256435,-2627.723145
0.364806,0.256435,-2632.192383
0.364464,0.254627,-2632.630127
0.364464,0.254627,-2629.875
0.364288,0.255412,-2630.385986
0.364288,0.255412,-2620.698486
0.362616,0.257251,-2620.476074
0.362616,0.257251,-2629.816406
0.362616,0.257251,-2627.115723
0.363374,0.261266,-2628.710449
0.363775,0.259627,-2630.287842
0.364275,0.262771,-2625.585938
0.364275,0.262771,-2625.951416
0.364275,0.262771,-2634.60498
0.363181,0.260018,-2639.552979
0.361992,0.25906,-2632.86377
0.359977,0.261523,-2644.211914
0.359445,0.259676,-2639.560059
0.359445,0.259676,-2632.822998
0.35875,0.259053,-2638.477539
0.359377,0.259837,-2638.800781
0.359516,0.25862,-2633.599365
0.359516,0.25862,-2640.998047
0.359516,0.25862,-2624.241455
0.360722,0.256136,-2632.289307
0.361054,0.257642,-2631.955811
0.361381,0.261045,-2631.457275
0.361381,0.261045,-2624.937012
0.361186,0.265125,-2631.755371
0.361186,0.265125,-2632.630371
0.361186,0.265125,-2633.185791
0.361452,0.266401,-2620.160156
0.361452,0.266401,-2627.51416
0.361452,0.266401,-2628.741455
0.361452,0.266401,-2625.386719
0.361452,0.266401,-2626.668457
0.361452,0.266401,-2631.571777
0.362871,0.270385,-2628.011719
0.362419,0.276467,-2643.075684
0.362419,0.276467,-2623.3125
0.362717,0.276215,-2625.983887
0.362717,0.276215,-2628.815186
0.364439,0.275105,-2622.459961
0.366248,0.279891,-2628.173584
0.366495,0.279584,-2626.544189
0.36711,0.279028,-2629.916504
0.36695,0.279802,-2632.477539
0.365454,0.282437,-2623.372559
0.364952,0.283357,-2634.242188
0.364952,0.283357,-2645.049072
0.365771,0.286685,-2632.71875
0.365594,0.285923,-2628.192383
0.365362,0.284427,-2632.465576
0.363752,0.284898,-2626.197266
0.363752,0.284898,-2629.897217
0.363752,0.284898,-2623.275146
0.364316,0.279703,-2637.818359
0.364316,0.279703,-2642.28833
0.363258,0.281696,-2642.908691
0.363258,0.281696,-2638.455566
0.363258,0.281696,-2628.580566
0.363258,0.281696,-2632.518066
0.363258,0.281696,-2640.511719
0.365228,0.27937,-2622.589355
0.365228,0.27937,-2630.650146
0.365372,0.276302,-2629.427246
0.365372,0.276302,-2633.449951
0.364059,0.273543,-2632.663086
0.364059,0.273543,-2643.085449
0.364059,0.273543,-2636.033691
0.364984,0.273706,-2629.624756
0.364984,0.273706,-2622.18457
0.36434,0.275648,-2621.896973
0.36434,0.275648,-2622.523682
0.364851,0.277583,-2625.508057
0.365703,0.280067,-2623.032715
0.365395,0.27932,-2632.143066
0.366178,0.279849,-2623.882324
0.366178,0.279849,-2639.672363
0.366178,0.279849,-2634.554199
0.366178,0.279849,-2628.427002
0.366179,0.279543,-2625.560791
0.366476,0.27714,-2633.044678
0.366009,0.279295,-2624.452637
0.365997,0.279399,-2632.89209
0.365929,0.27935,-2625.911621
0.36555,0.280967,-2625.581543
0.364707,0.283425,-2629.123535
0.364707,0.283425,-2630.762451
0.364707,0.283425,-2628.029297
0.365253,0.28324,-2631.771729
0.365253,0.28324,-2627.230957
0.365253,0.28324,-2640.091797
0.365253,0.28324,-2624.415527
0.365253,0.28324,-2637.655762
0.365244,0.282265,-2629.158203
0.366441,0.28676,-2624.975098
0.366441,0.28676,-2625.122559
0.366193,0.28674,-2625.947754
0.366033,0.284616,-2628.853516
0.366033,0.284616,-2636.520264
0.36501,0.284684,-2640.896484
0.365885,0.282955,-2633.699463
0.364508,0.280221,-2623.093262
0.364558,0.280907,-2631.896973
0.364558,0.280907,-2625.040771
0.36439,0.280027,-2621.725586
0.365588,0.275074,-2621.390137
0.365588,0.275074,-2627.322266
0.365588,0.275074,-2625.315674
0.364997,0.273069,-2626.103027
0.364749,0.269298,-2624.513428
