idx,alpha,mu,omega,rho,loglike
2019,0.05,0.8,0.0,0.6,-2050.279296875
2020,0.05,0.8,0.0,0.62,-2067.24755859375
2021,0.05,0.8,0.0,0.64,-2094.25537109375
2022,0.05,0.8,0.0,0.66,-2113.1064453125
2023,0.05,0.8,0.0,0.68,-2141.89990234375
2024,0.05,0.8,0.0,0.7,-2164.82080078125
2025,0.05,0.8,0.0,0.72,-2184.169921875
2026,0.05,0.8,0.0,0.74,-2212.9658203125
2027,0.05,0.8,0.0,0.76,-2236.56640625
2028,0.05,0.8,0.0,0.78,-2256.91015625
2029,0.05,0.8,0.0,0.8,-2275.50439453125
2030,0.05,0.8,0.0,0.82,-2302.58837890625
2031,0.05,0.8,0.0,0.84,-2327.55517578125
2032,0.05,0.8,0.0,0.86,-2351.00732421875
2033,0.05,0.8,0.0,0.88,-2381.148193359375
2034,0.05,0.8,0.0,0.9,-2407.064697265625
2035,0.05,0.8,0.0,0.92,-2413.569091796875
2036,0.05,0.8,0.0,0.94,-2449.790771484375
2037,0.05,0.8,0.0,0.96,-2468.434814453125
2038,0.05,0.8,0.0,0.98,-2485.1845703125
2039,0.05,0.8,0.0,1.0,-2546.24853515625
2040,0.05,0.82,0.0,0.0,-4190.0458984375
2041,0.05,0.82,0.0,0.02,-1577.5831298828125
2042,0.05,0.82,0.0,0.04,-1546.9462890625
2043,0.05,0.82,0.0,0.06,-1538.6488037109375
2044,0.05,0.82,0.0,0.08,-1541.58447265625
2045,0.05,0.82,0.0,0.1,-1549.288818359375
2046,0.05,0.82,0.0,0.12,-1560.6326904296875
2047,0.05,0.82,0.0,0.14,-1572.674072265625
2048,0.05,0.82,0.0,0.16,-1587.755126953125
2049,0.05,0.82,0.0,0.18,-1603.154541015625
2050,0.05,0.82,0.0,0.2,-1621.768798828125
2051,0.05,0.82,0.0,0.22,-1638.687255859375
2052,0.05,0.82,0.0,0.24,-1658.2034912109375
2053,0.05,0.82,0.0,0.26,-1677.912109375
2054,0.05,0.82,0.0,0.28,-1696.792236328125
2055,0.05,0.82,0.0,0.3,-1715.376953125
2056,0.05,0.82,0.0,0.32,-1738.69580078125
2057,0.05,0.82,0.0,0.34,-1758.84423828125
2058,0.05,0.82,0.0,0.36,-1783.2196044921875
2059,0.05,0.82,0.0,0.38,-1803.08447265625
2060,0.05,0.82,0.0,0.4,-1824.1268310546875
2061,0.05,0.82,0.0,0.42,-1848.7716064453125
2062,0.05,0.82,0.0,0.44,-1867.0418701171875
2063,0.05,0.82,0.0,0.46,-1891.2607421875
2064,0.05,0.82,0.0,0.48,-1912.86962890625
2065,0.05,0.82,0.0,0.5,-1940.3489990234375
2066,0.05,0.82,0.0,0.52,-1961.60302734375
2067,0.05,0.82,0.0,0.54,-1981.9212646484375
2068,0.05,0.82,0.0,0.56,-2003.8575439453125
2069,0.05,0.82,0.0,0.58,-2027.82763671875
2070,0.05,0.82,0.0,0.6,-2049.39501953125
2071,0.05,0.82,0.0,0.62,-2069.92822265625
2072,0.05,0.82,0.0,0.64,-2095.65283203125
2073,0.05,0.82,0.0,0.66,-2121.67138671875
2074,0.05,0.82,0.0,0.68,-2141.873779296875
2075,0.05,0.82,0.0,0.7,-2169.54541015625
2076,0.05,0.82,0.0,0.72,-2191.712890625
2077,0.05,0.82,0.0,0.74,-2219.558349609375
2078,0.05,0.82,0.0,0.76,-2240.788818359375
2079,0.05,0.82,0.0,0.78,-2260.554931640625
2080,0.05,0.82,0.0,0.8,-2283.96533203125
2081,0.05,0.82,0.0,0.82,-2300.265625
2082,0.05,0.82,0.0,0.84,-2341.75927734375
2083,0.05,0.82,0.0,0.86,-2368.940185546875
2084,0.05,0.82,0.0,0.88,-2391.968017578125
2085,0.05,0.82,0.0,0.9,-2415.693359375
2086,0.05,0.82,0.0,0.92,-2424.720703125
2087,0.05,0.82,0.0,0.94,-2465.86572265625
2088,0.05,0.82,0.0,0.96,-2488.9287109375
2089,0.05,0.82,0.0,0.98,-2495.38134765625
2090,0.05,0.82,0.0,1.0,-2519.48486328125
2091,0.05,0.84,0.0,0.0,-4184.6669921875
2092,0.05,0.84,0.0,0.02,-1576.89404296875
2093,0.05,0.84,0.0,0.04,-1550.908447265625
2094,0.05,0.84,0.0,0.06,-1540.85302734375
2095,0.05,0.84,0.0,0.08,-1543.5029296875
2096,0.05,0.84,0.0,0.1,-1552.6588134765625
2097,0.05,0.84,0.0,0.12,-1563.212890625
2098,0.05,0.84,0.0,0.14,-1574.9638671875
2099,0.05,0.84,0.0,0.16,-1591.0322265625
2100,0.05,0.84,0.0,0.18,-1608.493896484375
2101,0.05,0.84,0.0,0.2,-1624.492431640625
2102,0.05,0.84,0.0,0.22,-1640.5703125
2103,0.05,0.84,0.0,0.24,-1660.544189453125
2104,0.05,0.84,0.0,0.26,-1679.27490234375
2105,0.05,0.84,0.0,0.28,-1701.8438720703125
2106,0.05,0.84,0.0,0.3,-1719.637451171875
2107,0.05,0.84,0.0,0.32,-1741.1029052734375
2108,0.05,0.84,0.0,0.34,-1763.7484130859375
2109,0.05,0.84,0.0,0.36,-1783.8187255859375
2110,0.05,0.84,0.0,0.38,-1807.14697265625
2111,0.05,0.84,0.0,0.4,-1827.465087890625
2112,0.05,0.84,0.0,0.42,-1847.490966796875
2113,0.05,0.84,0.0,0.44,-1873.75341796875
2114,0.05,0.84,0.0,0.46,-1893.851806640625
2115,0.05,0.84,0.0,0.48,-1916.103759765625
2116,0.05,0.84,0.0,0.5,-1942.69384765625
2117,0.05,0.84,0.0,0.52,-1963.5631103515625
2118,0.05,0.84,0.0,0.54,-1984.0697021484375
2119,0.05,0.84,0.0,0.56,-2005.1927490234375
2120,0.05,0.84,0.0,0.58,-2027.841064453125
2121,0.05,0.84,0.0,0.6,-2053.8408203125
2122,0.05,0.84,0.0,0.62,-2075.67431640625
2123,0.05,0.84,0.0,0.64,-2102.509521484375
2124,0.05,0.84,0.0,0.66,-2120.2646484375
2125,0.05,0.84,0.0,0.68,-2141.83642578125
2126,0.05,0.84,0.0,0.7,-2169.431640625
2127,0.05,0.84,0.0,0.72,-2192.142578125
2128,0.05,0.84,0.0,0.74,-2216.9091796875
2129,0.05,0.84,0.0,0.76,-2241.109130859375
2130,0.05,0.84,0.0,0.78,-2259.108642578125
2131,0.05,0.84,0.0,0.8,-2301.486572265625
2132,0.05,0.84,0.0,0.82,-2316.53759765625
2133,0.05,0.84,0.0,0.84,-2341.174072265625
2134,0.05,0.84,0.0,0.86,-2364.88427734375
2135,0.05,0.84,0.0,0.88,-2401.651123046875
2136,0.05,0.84,0.0,0.9,-2427.185546875
2137,0.05,0.84,0.0,0.92,-2413.278076171875
2138,0.05,0.84,0.0,0.94,-2465.364990234375
2139,0.05,0.84,0.0,0.96,-2494.777099609375
2140,0.05,0.84,0.0,0.98,-2503.0849609375
2141,0.05,0.84,0.0,1.0,-2530.849365234375
2142,0.05,0.86,0.0,0.0,-4188.689453125
2143,0.05,0.86,0.0,0.02,-1581.1693115234375
2144,0.05,0.86,0.0,0.04,-1553.5419921875
2145,0.05,0.86,0.0,0.06,-1546.196533203125
2146,0.05,0.86,0.0,0.08,-1547.610107421875
2147,0.05,0.86,0.0,0.1,-1554.94189453125
2148,0.05,0.86,0.0,0.12,-1564.7703857421875
2149,0.05,0.86,0.0,0.14,-1578.2242431640625
2150,0.05,0.86,0.0,0.16,-1593.7724609375
2151,0.05,0.86,0.0,0.18,-1610.0640869140625
2152,0.05,0.86,0.0,0.2,-1626.0579833984375
2153,0.05,0.86,0.0,0.22,-1646.982421875
2154,0.05,0.86,0.0,0.24,-1663.4664306640625
2155,0.05,0.86,0.0,0.26,-1684.52392578125
2156,0.05,0.86,0.0,0.28,-1703.2392578125
2157,0.05,0.86,0.0,0.3,-1723.603515625
2158,0.05,0.86,0.0,0.32,-1746.0989990234375
2159,0.05,0.86,0.0,0.34,-1763.968017578125
2160,0.05,0.86,0.0,0.36,-1788.02880859375
2161,0.05,0.86,0.0,0.38,-1810.0340576171875
2162,0.05,0.86,0.0,0.4,-1834.9755859375
2163,0.05,0.86,0.0,0.42,-1854.595458984375
2164,0.05,0.86,0.0,0.44,-1876.871337890625
2165,0.05,0.86,0.0,0.46,-1899.396240234375
2166,0.05,0.86,0.0,0.48,-1919.68798828125
2167,0.05,0.86,0.0,0.5,-1946.348388671875
2168,0.05,0.86,0.0,0.52,-1967.3724365234375
2169,0.05,0.86,0.0,0.54,-1988.105224609375
2170,0.05,0.86,0.0,0.56,-2014.9248046875
2171,0.05,0.86,0.0,0.58,-2034.99169921875
2172,0.05,0.86,0.0,0.6,-2062.369384765625
2173,0.05,0.86,0.0,0.62,-2085.8291015625
2174,0.05,0.86,0.0,0.64,-2103.86474609375
2175,0.05,0.86,0.0,0.66,-2131.59033203125
2176,0.05,0.86,0.0,0.68,-2150.429443359375
2177,0.05,0.86,0.0,0.7,-2172.954345703125
2178,0.05,0.86,0.0,0.72,-2202.65185546875
2179,0.05,0.86,0.0,0.74,-2225.39111328125
2180,0.05,0.86,0.0,0.76,-2249.374267578125
2181,0.05,0.86,0.0,0.78,-2262.32421875
2182,0.05,0.86,0.0,0.8,-2297.362060546875
2183,0.05,0.86,0.0,0.82,-2318.029296875
2184,0.05,0.86,0.0,0.84,-2347.239990234375
2185,0.05,0.86,0.0,0.86,-2369.810546875
2186,0.05,0.86,0.0,0.88,-2401.6796875
2187,0.05,0.86,0.0,0.9,-2408.43701171875
2188,0.05,0.86,0.0,0.92,-2440.1494140625
2189,0.05,0.86,0.0,0.94,-2455.3642578125
2190,0.05,0.86,0.0,0.96,-2489.697265625
2191,0.05,0.86,0.0,0.98,-2513.458251953125
2192,0.05,0.86,0.0,1.0,-2523.92724609375
2193,0.05,0.88,0.0,0.0,-4179.6064453125
2194,0.05,0.88,0.0,0.02,-1583.761962890625
2195,0.05,0.88,0.0,0.04,-1555.603271484375
2196,0.05,0.88,0.0,0.06,-1547.79296875
2197,0.05,0.88,0.0,0.08,-1550.79150390625
2198,0.05,0.88,0.0,0.1,-1555.86962890625
2199,0.05,0.88,0.0,0.12,-1567.331787109375
2200,0.05,0.88,0.0,0.14,-1579.72509765625
2201,0.05,0.88,0.0,0.16,-1596.2747802734375
2202,0.05,0.88,0.0,0.18,-1612.816162109375
2203,0.05,0.88,0.0,0.2,-1628.0146484375
2204,0.05,0.88,0.0,0.22,-1649.3505859375
2205,0.05,0.88,0.0,0.24,-1668.309326171875
2206,0.05,0.88,0.0,0.26,-1688.003173828125
2207,0.05,0.88,0.0,0.28,-1708.577392578125
2208,0.05,0.88,0.0,0.3,-1725.761474609375
2209,0.05,0.88,0.0,0.32,-1749.8177490234375
2210,0.05,0.88,0.0,0.34,-1769.536376953125
2211,0.05,0.88,0.0,0.36,-1790.46875
2212,0.05,0.88,0.0,0.38,-1810.8310546875
2213,0.05,0.88,0.0,0.4,-1832.56884765625
2214,0.05,0.88,0.0,0.42,-1859.96630859375
2215,0.05,0.88,0.0,0.44,-1876.7073974609375
2216,0.05,0.88,0.0,0.46,-1902.5506591796875
2217,0.05,0.88,0.0,0.48,-1923.9227294921875
2218,0.05,0.88,0.0,0.5,-1946.7369384765625
2219,0.05,0.88,0.0,0.52,-1972.341796875
2220,0.05,0.88,0.0,0.54,-1992.6890869140625
2221,0.05,0.88,0.0,0.56,-2015.85888671875
2222,0.05,0.88,0.0,0.58,-2041.4656982421875
2223,0.05,0.88,0.0,0.6,-2061.84375
2224,0.05,0.88,0.0,0.62,-2085.530029296875
2225,0.05,0.88,0.0,0.64,-2112.610107421875
2226,0.05,0.88,0.0,0.66,-2133.450927734375
2227,0.05,0.88,0.0,0.68,-2155.849609375
2228,0.05,0.88,0.0,0.7,-2174.533447265625
2229,0.05,0.88,0.0,0.72,-2206.248046875
2230,0.05,0.88,0.0,0.74,-2225.702880859375
2231,0.05,0.88,0.0,0.76,-2253.771484375
2232,0.05,0.88,0.0,0.78,-2272.84521484375
2233,0.05,0.88,0.0,0.8,-2294.8701171875
2234,0.05,0.88,0.0,0.82,-2320.54345703125
2235,0.05,0.88,0.0,0.84,-2341.20751953125
2236,0.05,0.88,0.0,0.86,-2367.40966796875
2237,0.05,0.88,0.0,0.88,-2379.28564453125
2238,0.05,0.88,0.0,0.9,-2417.98193359375
2239,0.05,0.88,0.0,0.92,-2464.244873046875
2240,0.05,0.88,0.0,0.94,-2468.232177734375
2241,0.05,0.88,0.0,0.96,-2490.17138671875
2242,0.05,0.88,0.0,0.98,-2514.9130859375
2243,0.05,0.88,0.0,1.0,-2541.9443359375
2244,0.05,0.9,0.0,0.0,-4203.71728515625
2245,0.05,0.9,0.0,0.02,-1589.6209716796875
2246,0.05,0.9,0.0,0.04,-1558.341064453125
2247,0.05,0.9,0.0,0.06,-1551.0225830078125
2248,0.05,0.9,0.0,0.08,-1554.433837890625
2249,0.05,0.9,0.0,0.1,-1559.7149658203125
2250,0.05,0.9,0.0,0.12,-1570.5577392578125
2251,0.05,0.9,0.0,0.14,-1585.3779296875
2252,0.05,0.9,0.0,0.16,-1600.18359375
2253,0.05,0.9,0.0,0.18,-1616.758544921875
2254,0.05,0.9,0.0,0.2,-1632.67919921875
2255,0.05,0.9,0.0,0.22,-1651.3565673828125
2256,0.05,0.9,0.0,0.24,-1670.939453125
2257,0.05,0.9,0.0,0.26,-1689.034423828125
2258,0.05,0.9,0.0,0.28,-1711.646484375
2259,0.05,0.9,0.0,0.3,-1730.121826171875
2260,0.05,0.9,0.0,0.32,-1752.798828125
2261,0.05,0.9,0.0,0.34,-1772.5445556640625
2262,0.05,0.9,0.0,0.36,-1794.2589111328125
2263,0.05,0.9,0.0,0.38,-1814.34912109375
2264,0.05,0.9,0.0,0.4,-1836.2108154296875
2265,0.05,0.9,0.0,0.42,-1859.72412109375
2266,0.05,0.9,0.0,0.44,-1886.15234375
2267,0.05,0.9,0.0,0.46,-1901.886474609375
2268,0.05,0.9,0.0,0.48,-1928.620849609375
2269,0.05,0.9,0.0,0.5,-1951.374267578125
2270,0.05,0.9,0.0,0.52,-1974.47119140625
2271,0.05,0.9,0.0,0.54,-1996.654541015625
2272,0.05,0.9,0.0,0.56,-2015.45361328125
2273,0.05,0.9,0.0,0.58,-2043.08251953125
2274,0.05,0.9,0.0,0.6,-2069.20068359375
2275,0.05,0.9,0.0,0.62,-2097.72119140625
2276,0.05,0.9,0.0,0.64,-2109.45068359375
2277,0.05,0.9,0.0,0.66,-2135.89111328125
2278,0.05,0.9,0.0,0.68,-2155.5830078125
2279,0.05,0.9,0.0,0.7,-2183.10986328125
2280,0.05,0.9,0.0,0.72,-2207.25146484375
2281,0.05,0.9,0.0,0.74,-2226.33251953125
2282,0.05,0.9,0.0,0.76,-2254.545654296875
2283,0.05,0.9,0.0,0.78,-2271.602294921875
2284,0.05,0.9,0.0,0.8,-2301.04541015625
2285,0.05,0.9,0.0,0.82,-2324.17822265625
2286,0.05,0.9,0.0,0.84,-2350.44775390625
2287,0.05,0.9,0.0,0.86,-2366.30712890625
2288,0.05,0.9,0.0,0.88,-2391.556884765625
2289,0.05,0.9,0.0,0.9,-2407.98046875
2290,0.05,0.9,0.0,0.92,-2444.084716796875
2291,0.05,0.9,0.0,0.94,-2451.8837890625
2292,0.05,0.9,0.0,0.96,-2505.04345703125
2293,0.05,0.9,0.0,0.98,-2522.53466796875
2294,0.05,0.9,0.0,1.0,-2559.04541015625
2295,0.05,0.92,0.0,0.0,-4195.4111328125
2296,0.05,0.92,0.0,0.02,-1590.14306640625
2297,0.05,0.92,0.0,0.04,-1560.3330078125
2298,0.05,0.92,0.0,0.06,-1554.32373046875
2299,0.05,0.92,0.0,0.08,-1555.36669921875
2300,0.05,0.92,0.0,0.1,-1563.9989013671875
2301,0.05,0.92,0.0,0.12,-1574.403076171875
2302,0.05,0.92,0.0,0.14,-1587.996337890625
2303,0.05,0.92,0.0,0.16,-1602.261962890625
2304,0.05,0.92,0.0,0.18,-1617.0439453125
2305,0.05,0.92,0.0,0.2,-1634.82373046875
2306,0.05,0.92,0.0,0.22,-1653.841064453125
2307,0.05,0.92,0.0,0.24,-1672.160888671875
2308,0.05,0.92,0.0,0.26,-1692.497314453125
2309,0.05,0.92,0.0,0.28,-1712.965576171875
2310,0.05,0.92,0.0,0.3,-1732.8594970703125
2311,0.05,0.92,0.0,0.32,-1753.4619140625
2312,0.05,0.92,0.0,0.34,-1776.3963623046875
2313,0.05,0.92,0.0,0.36,-1798.3345947265625
2314,0.05,0.92,0.0,0.38,-1817.757080078125
2315,0.05,0.92,0.0,0.4,-1843.47607421875
2316,0.05,0.92,0.0,0.42,-1862.393310546875
2317,0.05,0.92,0.0,0.44,-1885.2017822265625
2318,0.05,0.92,0.0,0.46,-1910.4232177734375
2319,0.05,0.92,0.0,0.48,-1927.9404296875
2320,0.05,0.92,0.0,0.5,-1950.699462890625
2321,0.05,0.92,0.0,0.52,-1973.325927734375
2322,0.05,0.92,0.0,0.54,-2002.4910888671875
2323,0.05,0.92,0.0,0.56,-2023.8056640625
2324,0.05,0.92,0.0,0.58,-2041.299072265625
2325,0.05,0.92,0.0,0.6,-2069.38916015625
2326,0.05,0.92,0.0,0.62,-2095.89208984375
2327,0.05,0.92,0.0,0.64,-2117.134765625
2328,0.05,0.92,0.0,0.66,-2141.319580078125
2329,0.05,0.92,0.0,0.68,-2159.55029296875
2330,0.05,0.92,0.0,0.7,-2184.149658203125
2331,0.05,0.92,0.0,0.72,-2210.474609375
2332,0.05,0.92,0.0,0.74,-2236.4560546875
2333,0.05,0.92,0.0,0.76,-2254.44580078125
2334,0.05,0.92,0.0,0.78,-2279.35498046875
2335,0.05,0.92,0.0,0.8,-2303.37646484375
2336,0.05,0.92,0.0,0.82,-2326.83251953125
2337,0.05,0.92,0.0,0.84,-2344.01904296875
2338,0.05,0.92,0.0,0.86,-2372.48291015625
2339,0.05,0.92,0.0,0.88,-2390.61669921875
2340,0.05,0.92,0.0,0.9,-2421.3349609375
2341,0.05,0.92,0.0,0.92,-2450.826416015625
2342,0.05,0.92,0.0,0.94,-2474.9912109375
2343,0.05,0.92,0.0,0.96,-2494.40966796875
2344,0.05,0.92,0.0,0.98,-2514.3056640625
2345,0.05,0.92,0.0,1.0,-2544.5517578125
2346,0.05,0.94,0.0,0.0,-4200.673828125
2347,0.05,0.94,0.0,0.02,-1593.0001220703125
2348,0.05,0.94,0.0,0.04,-1564.16845703125
2349,0.05,0.94,0.0,0.06,-1556.8427734375
2350,0.05,0.94,0.0,0.08,-1559.16259765625
2351,0.05,0.94,0.0,0.1,-1566.0648193359375
2352,0.05,0.94,0.0,0.12,-1577.8212890625
