Worm #,CFU_22,CFU_222,CFU_2222,Day,Sync
16,0,0,,5,3/12/2025
17,0,0,,5,3/12/2025
18,2,0,,5,3/12/2025
19,8,2,,5,3/12/2025
20,11,0,,5,3/12/2025
21,1,1,,5,3/12/2025
22,3,0,,5,3/12/2025
23,0,0,,5,3/12/2025
24,0,0,,5,3/12/2025
25,1,0,,5,3/12/2025
1,38,7,1,7,3/12/2025
2,521,62,8,7,3/12/2025
3,0,0,0,7,3/12/2025
4,2,0,0,7,3/12/2025
5,1,0,0,7,3/12/2025
6,0,0,0,7,3/12/2025
7,3,0,0,7,3/12/2025
8,3,0,0,7,3/12/2025
9,311,41,3,7,3/12/2025
10,2,0,0,7,3/12/2025
11,0,0,0,7,3/12/2025
12,53,4,1,7,3/12/2025
13,2,1,0,7,3/12/2025
14,unc,unc,169,7,3/12/2025
15,1,0,0,7,3/12/2025
16,0,0,0,7,3/12/2025
17,0,0,0,7,3/12/2025
18,0,0,0,7,3/12/2025
19,114,16,3,7,3/12/2025
20,0,0,0,7,3/12/2025
21,unc,869,107,7,3/12/2025
22,4,1,0,7,3/12/2025
23,244,32,3,7,3/12/2025
24,12,2,0,7,3/12/2025
25,9,0,0,7,3/12/2025
1,749,97,5,9,3/12/2025
2,3,0,0,9,3/12/2025
3,2,0,0,9,3/12/2025
4,27,1,3,9,3/12/2025
5,3,0,0,9,3/12/2025
6,78,16,3,9,3/12/2025
7,1,0,0,9,3/12/2025
8,18,0,0,9,3/12/2025
9,6,3,0,9,3/12/2025
10,25,1,0,9,3/12/2025
11,410,18,4,9,3/12/2025
12,2,1,0,9,3/12/2025
13,61,6,0,9,3/12/2025
14,unc,130,11,9,3/12/2025
15,unc,unc,80,9,3/12/2025
16,unc,511,57,9,3/12/2025
17,unc,21,4,9,3/12/2025
18,unc,unc,34,9,3/12/2025
19,unc,185,10,9,3/12/2025
20,2,1,0,9,3/12/2025
21,1,0,0,9,3/12/2025
22,4,1,0,9,3/12/2025
23,5,0,0,9,3/12/2025
24,0,0,0,9,3/12/2025
25,unc,318,30,9,3/12/2025
