Worm #,CFU_22,CFU_222,CFU_2222,PFU,Day,Exp,Sync,
8,0,0,,0,7,ST042,4/3/2025,
9,unc ,105,5,0,7,ST042,4/3/2025,
10,0,0,,0,7,ST042,4/3/2025,
11,1,0,,0,7,ST042,4/3/2025,
12,3,0,,0,7,ST042,4/3/2025,
13,1,0,,0,7,ST042,4/3/2025,
14,98,7,1,0,7,ST042,4/3/2025,
15,40,5,0,0,7,ST042,4/3/2025,
16,126,20,1,0,7,ST042,4/3/2025,
17,unc ,128,10,0,7,ST042,4/3/2025,
18,3,0,,0,7,ST042,4/3/2025,
19,0,0,,0,7,ST042,4/3/2025,
20,216,15,3,0,7,ST042,4/3/2025,
21,unc ,311,16,0,7,ST042,4/3/2025,
22,unc ,59,5,0,7,ST042,4/3/2025,
23,1,0,,0,7,ST042,4/3/2025,
24,0,0,,0,7,ST042,4/3/2025,
25,12,0,,0,7,ST042,4/3/2025,
1,0,0,0,0,9,ST042,4/3/2025,
2,48,4,1,0,9,ST042,4/3/2025,
3,0,0,0,0,9,ST042,4/3/2025,
4,20,6,0,0,9,ST042,4/3/2025,
5,1,0,0,0,9,ST042,4/3/2025,
6,5,0,0,0,9,ST042,4/3/2025,
7,0,0,0,0,9,ST042,4/3/2025,
8,52,8,2,0,9,ST042,4/3/2025,
9,29,4,1,0,9,ST042,4/3/2025,
10,0,0,0,0,9,ST042,4/3/2025,
11,unc ,unc,66,0,9,ST042,4/3/2025,
12,unc ,189,19,0,9,ST042,4/3/2025,
13,1,0,0,0,9,ST042,4/3/2025,
14,0,0,0,0,9,ST042,4/3/2025,
15,8,1,0,0,9,ST042,4/3/2025,
16,3,0,0,0,9,ST042,4/3/2025,
17,unc ,unc,65,0,9,ST042,4/3/2025,
18,0,0,0,0,9,ST042,4/3/2025,
19,6,1,0,0,9,ST042,4/3/2025,
20,2,0,0,0,9,ST042,4/3/2025,
21,unc ,252,26,0,9,ST042,4/3/2025,
22,32,5,0,0,9,ST042,4/3/2025,
23,unc ,unc,31,0,9,ST042,4/3/2025,
24,1,1,0,0,9,ST042,4/3/2025,
25,33,2,0,0,9,ST042,4/3/2025,
1,0,0,,,1,ST047,4/30/2025,
2,0,0,,,1,ST047,4/30/2025,
3,3,0,,,1,ST047,4/30/2025,
4,0,0,,,1,ST047,4/30/2025,
5,0,0,,,1,ST047,4/30/2025,
6,0,0,,,1,ST047,4/30/2025,
7,0,0,,,1,ST047,4/30/2025,
8,0,0,,,1,ST047,4/30/2025,
9,0,0,,,1,ST047,4/30/2025,
10,137,13,,,1,ST047,4/30/2025,
11,119,13,,,1,ST047,4/30/2025,
12,0,0,,,1,ST047,4/30/2025,
13,1,0,,,1,ST047,4/30/2025,
14,0,0,,,1,ST047,4/30/2025,
15,0,0,,,1,ST047,4/30/2025,
16,0,0,,,1,ST047,4/30/2025,
17,2,0,,,1,ST047,4/30/2025,
18,0,0,,,1,ST047,4/30/2025,
19,1,0,,,1,ST047,4/30/2025,
20,2,0,,,1,ST047,4/30/2025,
21,0,0,,,1,ST047,4/30/2025,
22,0,0,,,1,ST047,4/30/2025,
23,0,0,,,1,ST047,4/30/2025,
24,0,0,,,1,ST047,4/30/2025,
25,0,0,,,1,ST047,4/30/2025,
1,0,0,,,3,ST047,4/30/2025,
2,0,0,,,3,ST047,4/30/2025,
3,0,0,,,3,ST047,4/30/2025,
4,0,0,,,3,ST047,4/30/2025,
5,0,0,,,3,ST047,4/30/2025,
6,0,0,,,3,ST047,4/30/2025,
7,0,0,,,3,ST047,4/30/2025,
8,0,0,,,3,ST047,4/30/2025,
9,0,0,,,3,ST047,4/30/2025,
10,0,0,,,3,ST047,4/30/2025,
11,0,0,,,3,ST047,4/30/2025,
12,0,0,,,3,ST047,4/30/2025,
13,0,0,,,3,ST047,4/30/2025,
14,0,0,,,3,ST047,4/30/2025,
15,2,0,,,3,ST047,4/30/2025,
16,0,0,,,3,ST047,4/30/2025,
17,0,0,,,3,ST047,4/30/2025,
18,0,0,,,3,ST047,4/30/2025,
19,0,0,,,3,ST047,4/30/2025,
20,0,0,,,3,ST047,4/30/2025,
21,1,0,,,3,ST047,4/30/2025,
22,0,0,,,3,ST047,4/30/2025,
23,0,0,,,3,ST047,4/30/2025,
24,0,0,,,3,ST047,4/30/2025,
25,0,0,,,3,ST047,4/30/2025,
1,0,0,,,5,ST047,4/30/2025,
2,41,3,,,5,ST047,4/30/2025,
3,0,0,,,5,ST047,4/30/2025,
4,0,0,,,5,ST047,4/30/2025,
5,0,0,,,5,ST047,4/30/2025,
6,66,11,,,5,ST047,4/30/2025,
7,0,0,,,5,ST047,4/30/2025,
8,4,0,,,5,ST047,4/30/2025,
9,0,0,,,5,ST047,4/30/2025,
10,0,0,,,5,ST047,4/30/2025,
