Worm #,CFU_22,CFU_222,CFU_2222,Day,Sync
23,unc,unc,25,9,1/21/2025
24,5,0,0,9,1/21/2025
25,unc,94,10,9,1/21/2025
1,0,0,,1,1/31/2025
2,94,11,,1,1/31/2025
3,3,0,,1,1/31/2025
4,unc,87,,1,1/31/2025
5,16,1,,1,1/31/2025
6,0,0,,1,1/31/2025
7,0,0,,1,1/31/2025
8,0,0,,1,1/31/2025
9,0,0,,1,1/31/2025
10,0,0,,1,1/31/2025
11,0,0,,1,1/31/2025
12,0,0,,1,1/31/2025
13,0,0,,1,1/31/2025
14,100,14,,1,1/31/2025
15,1,0,,1,1/31/2025
16,7,1,,1,1/31/2025
17,64,8,,1,1/31/2025
18,1,0,,1,1/31/2025
19,1,0,,1,1/31/2025
20,0,0,,1,1/31/2025
21,0,0,,1,1/31/2025
22,0,0,,1,1/31/2025
23,2,1,,1,1/31/2025
24,0,0,,1,1/31/2025
25,0,0,,1,1/31/2025
1,4,0,,3,1/31/2025
2,37,2,,3,1/31/2025
3,unc,70,,3,1/31/2025
4,15,1,,3,1/31/2025
5,0,0,,3,1/31/2025
6,0,0,,3,1/31/2025
7,135,15,,3,1/31/2025
8,5,0,,3,1/31/2025
9,0,0,,3,1/31/2025
10,16,0,,3,1/31/2025
11,7,0,,3,1/31/2025
12,0,0,,3,1/31/2025
13,36,7,,3,1/31/2025
14,4,0,,3,1/31/2025
15,2,0,,3,1/31/2025
16,1,0,,3,1/31/2025
17,unc,236,,3,1/31/2025
18,3,0,,3,1/31/2025
19,11,0,,3,1/31/2025
20,0,0,,3,1/31/2025
21,0,0,,3,1/31/2025
22,234,41,,3,1/31/2025
23,0,0,,3,1/31/2025
24,72,4,,3,1/31/2025
25,0,0,,3,1/31/2025
1,8,2,0,5,1/31/2025
2,67,5,3,5,1/31/2025
3,2,1,0,5,1/31/2025
4,0,0,0,5,1/31/2025
5,16,2,0,5,1/31/2025
6,0,0,0,5,1/31/2025
7,0,0,0,5,1/31/2025
8,38,5,0,5,1/31/2025
9,34,2,1,5,1/31/2025
10,104,7,0,5,1/31/2025
11,0,0,0,5,1/31/2025
12,0,0,0,5,1/31/2025
13,0,0,0,5,1/31/2025
14,unc,unc,49,5,1/31/2025
15,unc,unc,59,5,1/31/2025
16,unc,157,45,5,1/31/2025
17,3,0,0,5,1/31/2025
18,1,0,0,5,1/31/2025
19,63,9,0,5,1/31/2025
20,3,0,0,5,1/31/2025
21,44,5,1,5,1/31/2025
22,119,19,6,5,1/31/2025
23,0,0,0,5,1/31/2025
24,85,27,0,5,1/31/2025
25,0,0,0,5,1/31/2025
1,unc,367,30,7,1/31/2025
2,14,0,0,7,1/31/2025
3,1,0,0,7,1/31/2025
4,unc,324,40,7,1/31/2025
5,16,2,1,7,1/31/2025
6,14,0,0,7,1/31/2025
7,unc,unc,20,7,1/31/2025
8,9,1,0,7,1/31/2025
9,2,0,0,7,1/31/2025
10,20,2,0,7,1/31/2025
11,5,0,0,7,1/31/2025
12,3,0,0,7,1/31/2025
13,1,0,0,7,1/31/2025
14,1,0,0,7,1/31/2025
15,10,1,0,7,1/31/2025
16,8,1,0,7,1/31/2025
17,unc,47,15,7,1/31/2025
18,unc,unc,32,7,1/31/2025
19,2,0,0,7,1/31/2025
20,4,1,0,7,1/31/2025
21,1,0,0,7,1/31/2025
22,16,5,0,7,1/31/2025
23,unc,76,11,7,1/31/2025
24,7,0,0,7,1/31/2025
25,unc,71,34,7,1/31/2025
1,25,0,0,9,1/31/2025
2,unc,unc,136,9,1/31/2025
3,unc,78,17,9,1/31/2025
4,unc,unc,82,9,1/31/2025
5,125,11,0,9,1/31/2025
6,unc,unc,151,9,1/31/2025
7,107,16,0,9,1/31/2025
8,71,9,1,9,1/31/2025
9,3,2,0,9,1/31/2025
10,unc,unc,64,9,1/31/2025
11,3,0,1,9,1/31/2025
12,10,2,0,9,1/31/2025
13,unc,18,2,9,1/31/2025
14,unc,unc,74,9,1/31/2025
15,unc,unc,51,9,1/31/2025
16,unc,unc,388,9,1/31/2025
17,0,0,0,9,1/31/2025
18,unc,269,25,9,1/31/2025
19,unc,44,22,9,1/31/2025
20,unc,unc,112,9,1/31/2025
21,unc,unc,328,9,1/31/2025
22,unc,unc,95,9,1/31/2025
23,154,4,1,9,1/31/2025
24,unc,unc,168,9,1/31/2025
25,90,6,1,9,1/31/2025
